sesong;event;link;event_id
2015/2016;Statkraft Junior Cup 17-18 år;https://live.eqtiming.com/24900;24900
2015/2016;Sprint-NM Jr & Sr DNB Cup 6;https://live.eqtiming.com/21903;21903
2015/2016;Normal - NM Jr og NM Sr (Statkraft Jr Cup 5/DNB cup 6);https://live.eqtiming.com/21857;21857
2015/2016;DNB Cup 5 og Statkraft Jr Cup 4;https://live.eqtiming.com/21405;21405
2015/2016;DNB Cup 5 og Statkraft Jr Cup 4;https://live.eqtiming.com/21403;21403
2015/2016;DNB Cup 4 /og Statkraft Junior Cup 3;https://live.eqtiming.com/21330;21330
2015/2016;DNB Cup 4 og Statkraft Junior cup 3;https://live.eqtiming.com/21303;21303
2015/2016;DNB Cup 3 og Statkraft Jr Cup 2, 10.01;https://live.eqtiming.com/21043;21043
2015/2016;DNB Cup 3 og Statkraft Jr Cup 2, 09.01;https://live.eqtiming.com/21041;21041
2015/2016;DNB Cup 2 og Statkraft Junior Cup 1, Sprint;https://live.eqtiming.com/21581;21581
2015/2016;DNB Cup 2 og Statkraft Junior Cup 1, Normal;https://live.eqtiming.com/21580;21580
2017/2018;Junior Cup finale 5 - Fellesstart 17-19år;https://live.eqtiming.com/41348;41348
2017/2018;DNB Cup 6/Junior Cup 4, 10.03.2018;https://live.eqtiming.com/38697;38697
2017/2018;NM Normal -Senior, NM Normal - Junior;https://live.eqtiming.com/38698;38698
2017/2018;DNB Cup 5 / Junior Cup 3 Sprint;https://live.eqtiming.com/38605;38605
2017/2018;DNB Cup 5 / Junior Cup 3 Normal;https://live.eqtiming.com/38604;38604
2017/2018;NM JR DNB Cup 4/JR Cup 2;https://live.eqtiming.com/40879;40879
2017/2018;NM JR DNB Cup 4/JR Cup 2;https://live.eqtiming.com/40796;40796
2017/2018;DNB Cup 3/Junior Cup 1 sprint;https://live.eqtiming.com/38552;38552
2017/2018;DNB Cup 3/Junior Cup 1 normal;https://live.eqtiming.com/38551;38551